作品名,アニメ情報,現在部数,なろうランク,出版社,ステータス,メモ
異世界魔王と召喚少女の奴隷魔術,2期放送済,"3,100,000",,講談社ラノベ文庫,契約済,
デスマーチからはじまる異世界狂想曲,1期放送済,"7,500,000",10,KADOKAWA,契約済,
異世界迷宮でハーレムを,1期放送済,"5,600,000",33,富士見ファンタジア文庫,契約済,
異世界のんびり農家,1期決定（2023年1月）,"4,100,000",13,エンターブレイン,OK,
転生したら剣でした,1期放送中,"3,500,000",62,マイクロマガジン社,契約済,
セキレイ,,"3,400,000",,スクウェア・エニックス,NG,
LV999の村人,未定,"3,300,000",105,KADOKAWA,OK,
スライム倒して300年、知らないうちにレベルMAXになってました,2期決定(放送日未定),"3,000,000",,GAノベル,契約済,
信じていた仲間達にダンジョン奥地で殺されかけたがギフト『無限ガチャ』でレベル９９９９の仲間達を手に入れて元パーティーメンバーと世界に復讐＆『ざまぁ！』します！,2025年10月,"2,600,000",43,ヒーロー文庫,OK,
望まぬ不死の冒険者,1期24年1月→2期27年,"2,800,000",44,オーバーラップ文庫,OK,
とあるおっさんのVRMMO活動記,24年1期予定,"1,800,000",,アルファポリス,OK,
Re:Monster,未定,"1,700,000",,アルファポリス,OK,
野生のラスボスが現れた！,アニメ化決定,"1,300,000",,アース・スターノベル,OK,
終末なにしてますか？　忙しいですか？　救ってもらっていいですか？,1期放送済,"1,250,000",,角川スニーカー文庫,OK,
ヘルモード　～やり込み好きのゲーマーは廃設定の異世界で無双する～,未定,"1,000,000",6,アース・スターノベル,OK,
さようなら竜生、こんにちは人生,2024年10月,"1,000,000",,アース・スターノベル,OK,
転生王女と天才令嬢の魔法革命,1期決定(2023年1月),"1,000,000",,ファンタジア文庫,OK,
ループ7回目の悪役令嬢は、元敵国で自由気ままな花嫁生活を満喫する,23年10月1期,"1,000,000",16,ビーズログ文庫,,
聖剣学院の魔剣使い,1期決定（放送日未定）,"500,000",,,契約済,
俺は全てを【パリイ】する　〜逆勘違いの世界最強は冒険者になりたい〜,1期24年7月,,38,,OK,
クレヨンしんちゃん,1113話,"54,000,000",,双葉社,契約済,
緋弾のアリア,2期放送済,"9,000,000",,MF文庫J,NG,他社で作成
ここは俺に任せて先に行けと言ってから10年がたったら伝説になっていた。,1期26年,"3,400,000",90,アース・スターノベル,OK,
BAMBOO BLADE,,"3,300,000",,スクウェア・エニックス,保留,
薬屋のひとりごと,未定,"38,000,000",17,スクウェア・エニックス,契約済,
とある魔術の禁書目録,3期,"18,000,000",,アスキー・メディアワークス,保留,金次第
ToLOVEる,2期放送済,"16,000,000",,集英社,保留,金次第
ケロロ軍曹,7期放送済,"14,000,000",,角川書店,保留,金次第
終末のワルキューレ,2期決定(2023年),"10,000,000",,秋田書店,保留,金次第
デート・ア・ライブ,3期決定(2023年放送日未定),"6,000,000",,富士見ファンタジア文庫,保留,金次第
失格紋の最強賢者　～世界最強の賢者が更に強くなるために転生しました～,1期放送済,"5,000,000",,GA文庫,保留,金次第
狼と香辛料,2期放送済,"5,000,000",,電撃文庫,保留,金次第
転生したら第七王子だったので、気ままに魔術を極めます,アニメ2期,"5,000,000",181,MF文庫J,保留,金次第
アクセル・ワールド,1期放送済,"4,800,000",,アスキー・メディアワークス,保留,金次第
神達に拾われた男,2期決定(2023年1月),"4,500,000",15,HJノベルス,保留,金次第
伝説の勇者の伝説,1期放送済,"4,300,000",,富士見ファンタジア文庫,保留,金次第
異世界チート魔術師,1期放送済,"3,600,000",279,KADOKAWA,保留,金次第
はたらく魔王さま！,2期決定(2023年),"3,500,000",,アスキー・メディアワークス,保留,金次第
Knight's & Magic,1期放送済,"3,400,000",48,ヒーロー文庫,保留,金次第
ナイツ＆マジック,1期放送済,"3,400,000",,ヒーロー文庫,保留,金次第
デルフィニア戦記,未定,"3,350,000",,C★NOVELSファンタジア,保留,金次第
聖女の魔力は万能です,2期決定(2023年放送日未定),"3,300,000",8,カドカワBOOKS,保留,金次第
治癒魔法の間違った使い方～戦場を駆ける回復要員～,1期決定(放送日未定),3200000,175,オーバーラップ文庫,保留,金次第
たとえばラストダンジョン前の村の少年が序盤の街で暮らすような物語,1期放送済,"3,000,000",,GA文庫,保留,金次第
真の仲間じゃないと勇者のパーティーを追い出されたので、辺境でスローライフすることにしました,1期放送済,"3,000,000",70,KADOKAWA,保留,金次第
転生貴族の異世界冒険録～自重を知らない神々の使徒～,1期決定（2023年）,"3,000,000",27,一二三書房,保留,金次第
乙女ゲー世界はモブに厳しい世界です,1期放送済,"3,000,000",28,オーバーラップ文庫,保留,金次第
魔導具師ダリヤはうつむかない,未定,"3,000,000",9,KADOKAWA,保留,金次第
現実主義勇者の王国再建記,2期放送済,"2,800,000",,MF文庫J,保留,金次第
痛いのは嫌なので防御力に極振りしたいと思います。,2期決定（2023年1月）,"2,700,000",66,オーバーラップ文庫,保留,金次第
よくわからないけれど異世界に転生していたようです,未定,"2,600,000",270,富士見ファンタジア文庫,保留,金次第
賢者の弟子を名乗る賢者,1期放送済,"2,500,000",73,HJノベルス,保留,金次第
ダンジョンに出会いを求めるのは間違っているだろうか,4期放送済,"17,000,000",,スクウェア・エニックス,保留,やりすぎ
ゴールデンカムイ,4期放送中,"21,000,000",,集英社,保留,内容次第
涼宮ハルヒシリーズ,2期放送済,"20,000,000",,角川書店,保留,内容次第
ソウルイーター完全版,未定,"19,000,000",,スクウェア・エニックス,保留,版権元体制問題
天は赤い河のほとり,未定,"19,000,000",,小学館,保留,世界観不一致
蒼天航路,1期放送済,"18,000,000",,講談社,保留,世界観不一致
HAPPY! ,未定,"18,000,000",,小学館,保留,世界観不一致
CAT'S EYE,2期放送済,"18,000,000",,集英社,保留,世界観不一致
Get Backers 奪還屋,1期放送済,"18,000,000",,講談社,保留,世界観不一致
エア・ギア,1期放送済,"18,000,000",,講談社,保留,世界観不一致
花の慶次 -雲のかなたに-,未定,"18,000,000",,集英社,保留,世界観不一致
あさきゆめみし,未定,"18,000,000",,講談社,保留,世界観不一致
かぐや様は告らせたい 〜天才たちの恋愛頭脳戦〜,3期放送済,"17,500,000",,集英社,保留,世界観不一致
よつばと!,未定,"17,300,000",,アスキー・メディアワークス,保留,世界観不一致
赤ちゃんと僕,1期放送済,"17,200,000",,小学館,保留,世界観不一致
湾岸MIDNIGHT,1期放送済,"17,000,000",,講談社,保留,世界観不一致
MASTERキートン,1期放送済,"17,000,000",,小学館,保留,世界観不一致
青の祓魔師,1期放送済,"17,000,000",,集英社,保留,世界観不一致
花ざかりの君たちへ,未定,"17,000,000",,白泉社,保留,世界観不一致
ブラックジャックによろしく,1期放送済,"17,000,000",,講談社,保留,世界観不一致
銀の匙SilverSpoon,2期放送済,"17,000,000",,小学館,保留,世界観不一致
龍狼伝,未定,"17,000,000",,講談社,保留,世界観不一致
風の谷のナウシカ,1期放送済,"17,000,000",,徳間書店,保留,世界観不一致
ザ・ファブル,未定,"17,000,000",,講談社,保留,世界観不一致
聖☆おにいさん,1期放送済,"16,000,000",,講談社,保留,世界観不一致
総務部総務課 山口六平太,未定,"16,000,000",,小学館,保留,世界観不一致
夏目友人帳,6期放送済,"16,000,000",,白泉社,保留,世界観不一致
五等分の花嫁,2期放送済,"16,000,000",,講談社,保留,世界観不一致
ミステリと言う勿れ,未定,"16,000,000",,小学館,保留,世界観不一致
バクマン。,3期放送済,"15,000,000",,集英社,保留,世界観不一致
ジパング,1期放送済,"15,000,000",,講談社,保留,世界観不一致
蒼天の拳,2期放送済,"15,000,000",,集英社,保留,世界観不一致
BECK,1期放送済,"15,000,000",,講談社,保留,世界観不一致
お〜い!竜馬,1期放送済,"15,000,000",,小学館,保留,世界観不一致
リアル,未定,"15,000,000",,集英社,保留,世界観不一致
結界師 完全版,1期放送済,"15,000,000",,小学館,保留,世界観不一致
からくりサーカス,1期放送済,"15,000,000",,小学館,保留,世界観不一致
おおきく振りかぶって,2期放送済,"15,000,000",,講談社,保留,世界観不一致
GIANT KILLING,1期放送済,"15,000,000",,講談社,保留,世界観不一致
ARMS,1期放送済,"15,000,000",,小学館,保留,世界観不一致
ROUGH,未定,"15,000,000",,小学館,保留,世界観不一致
鬼灯の冷徹,2期放送済,"15,000,000",,講談社,保留,世界観不一致
BASARA,1期放送済,"15,000,000",,小学館,保留,世界観不一致
神の雫,未定,"15,000,000",,講談社,保留,世界観不一致
アオアシ,1期放送済,"15,000,000",,小学館,保留,世界観不一致
SAMURAI DEEPER KYO,1期放送済,"14,500,000",,講談社,保留,世界観不一致
ブギーポップシリーズ,1期放送済,"4,720,000",,メディアワークス,保留,世界観不一致
理想のヒモ生活,未定,"4,700,000",146,主婦と生活社,保留,世界観不一致
ロクでなし魔術講師と禁忌教典,1期放送済,"4,500,000",,KADOKAWA,保留,世界観不一致
誰かこの状況を説明してください！,未定,"4,500,000",117,アルファポリス,保留,世界観不一致
虚構推理,2期放送済,"4,000,000",,講談社,保留,世界観不一致
わたしの幸せな結婚,1期決定(放送日未定),"4,000,000",,富士見L文庫,保留,世界観不一致
ジャングルはいつもハレのちグゥ,,"3,900,000",,エニックス,保留,世界観不一致
君と僕。,,"3,800,000",,スクウェア・エニックス,保留,世界観不一致
ながされて藍蘭島,,"3,700,000",,スクウェア・エニックス,保留,世界観不一致
これはゾンビですか？,2期放送済,"3,700,000",,富士見ファンタジア文庫,保留,世界観不一致
冴えない彼女の育てかた,2期放送済,"3,500,000",,富士見ファンタジア文庫,保留,世界観不一致
“文学少女”シリーズ,未定,"3,500,000",,エンターブレイン,保留,世界観不一致
君の名は。,未定,"3,400,000",,KADOKAWA,保留,世界観不一致
告白予行練習,未定,"3,000,000",,角川ビーンズ文庫,保留,世界観不一致
カラダ探し,1期放送済,"3,000,000",,集英社,保留,世界観不一致
君の膵臓をたべたい,1期放送済,"3,000,000",,双葉社,保留,世界観不一致
問題児シリーズ,1期放送済,"3,000,000",,角川スニーカー文庫,保留,世界観不一致
ひげを剃る。そして女子高生を拾う。,1期放送済,"3,000,000",,KADOKAWA,,世界観不一致
没落予定の貴族だけど、暇だったから魔法を極めてみた,1期25年1月,"750,000",46,,OK,テレ東制作可能
俺は星間国家の悪徳領主！,2024年,750000,22,,OK,グリーで
無職転生～異世界行ったら本気だす～,2期決定(2023年放送予定),"14,850,000",2,講談社,保留,RS高い
ドラえもん,1814話,"100,000,000",,小学館,契約済,
魔法先生ネギま!,3期放送済,"26,000,000",,講談社,契約済,
弱虫ペダル,5期放送中,"25,000,000",,秋田書店,契約済,
銀河英雄伝説,12期放送済,"15,000,000",,徳間書店,契約済,
魔法陣グルグル,3期放送済,"14,000,000",,エニックス,契約済,
ゴブリンスレイヤー,2期放送中,"10,000,000",,スクウェア・エニックス,契約済,
月が導く異世界道中,2期決定(放送日未定),"3,600,000",,アルファポリス,契約済,
異世界でチート能力を手にした俺は、現実世界をも無双する　～レベルアップは人生を変えた～,1期決定(放送日未定),"3,300,000",,富士見ファンタジア文庫,契約済,
ストライク・ザ・ブラッド,5期放送済,"3,200,000",,アスキー・メディアワークス,契約済,
異世界はスマートフォンとともに。,2期決定（2023年春）,"3,000,000",100,HJノベルス,契約済,
骸骨騎士様、只今異世界へお出掛け中,2期決定,"2,900,000",122,オーバーラップ文庫,契約済,
精霊幻想記,2期決定(放送日未定),"2,700,000",,富士見ファンタジア文庫,契約済,
THE NEW GATE,24年4月1期,"2,700,000",,アルファポリス,契約済,
八男って、それはないでしょう！,1期放送済,"2,500,000",14,MF文庫J,契約済,
Lv2からチートだった元勇者候補のまったり異世界ライフ,1期24年4月,"2,500,000",,オーバーラップ文庫,契約済,
魔王様、リトライ！,1期放送済,"2,000,000",228,Mノベルス,契約済,
おかしな転生,1期決定（放送日未定）,"1,200,000",60,TOブックス,契約済,
暗殺者である俺のステータスが勇者よりも明らかに強いのだが,25年10期予定,"800,000",,,契約済,
ワンピース ONE PIECE,1999年10月20日～継続放送中,"500,000,000",,集英社,NG,
ナルトNARUTO,2期放送済,"250,000,000",,集英社,NG,バンナムゲーム独占
名探偵コナン,1060話,"250,000,000",,小学館,NG,
こちら葛飾区亀有公園前派出所,1期放送済,"156,500,000",,集英社,NG,
BLEACH ブリーチ,2期放済中,"130,000,000",,集英社,NG,複数本開発中
スラムダンクSLAMDUNK,1期放送済,"120,290,000",,集英社,NG,
進撃の巨人 ,6期決定(放送日未定),"110,000,000",,講談社,NG,
ジョジョの奇妙な冒険SET,6期放送済,"100,000,000",,集英社,NG,
北斗の拳,2期放送済,"100,000,000",,集英社,NG,
はじめの一歩,3期放送済,"96,000,000",,講談社,NG,
キングダム,5期決定（2024年1月）,"90,000,000",,集英社,NG,
バキBAKI,2期決定(放送日未定),"85,000,000",,秋田書店,NG,金と企画
HUNTER×HUNTERハンター×ハンター,2期放送済,"84,000,000",,集英社,NG,
バガボンド,未定,"82,000,000",,講談社,NG,
キャプテン翼,4期放送済,"80,000,000",,集英社,NG,
鋼の錬金術師,2期放送済,"80,000,000",,スクウェア・エニックス,NG,
キン肉マン,1期放送済,"77,000,000",,集英社,NG,
るろうに剣心,2期決定（2023年）,"72,000,000",,集英社,NG,
FAIRYTAILフェアリーテイル,3期放送済,"72,000,000",,講談社,NG,
呪術廻戦,2期決定(2023年1月),"70,000,000",,集英社,NG,
僕のヒーローアカデミア,6期放送中,"65,000,000",,集英社,NG,
東京卍リベンジャーズ,2期決定(2023年1月),"65,000,000",,講談社,NG,
テニスの王子様,10期放送済,"60,000,000",,集英社,NG,
ろくでなしBLUES ろくでなしブルース,未定,"60,000,000",,集英社,NG,
バッドボーイズ BAD BOYS,1期放送済,"55,000,000",,講談社,NG,
銀魂 ,4期放送済,"55,000,000",,集英社,NG,
らんま1/2,1期放送済,"53,000,000",,小学館,NG,
ミナミの帝王,1期放送済,"53,000,000",,日本文芸社,NG,
ハイキュー!!,5期決定（放送日未定）,"50,000,000",,集英社,NG,
ドラゴンクエスト-ダイの大冒険-,1期放送中,"50,000,000",,集英社,NG,
幽遊白書,1期放送済,"50,000,000",,集英社,NG,
GTO,1期放送済,"50,000,000",,講談社,NG,
犬夜叉,1期放送済,"50,000,000",,小学館,NG,
ベルセルク,3期放送中,"50,000,000",,白泉社,NG,
東京喰種,4期放送済,"47,000,000",,集英社,NG,
転生したらスライムだった件,2期放送済,"45,000,000",1,講談社,NG,
あっぱれ!浦安鉄筋家族,2期放送済,"44,000,000",,秋田書店,NG,
約束のネバーランド,2期放送済,"41,000,000",,集英社,NG,
七つの大罪,4期放送済,"37,000,000",,講談社,NG,
20世紀少年,未定,"36,000,000",,小学館,NG,
Dr.スランプ,1期放送済,"35,000,000",,集英社,NG,
聖闘士星矢,1期放送済,"35,000,000",,集英社,NG,
とある魔術の禁書目録,,"31,000,000",,スクウェア・エニックス,NG,
うる星やつら,2期放送中,"30,000,000",,小学館,NG,
美少女戦士セーラームーン,5期放送済,"30,000,000",,講談社,NG,条件厳しい
SPY×FAMILY,2期放送中,"26,500,000",,集英社,NG,
ワンパンマン,3期決定（放送日未定）,"26,000,000",,集英社,NG,
暗殺教室,2期放送済,"25,000,000",,集英社,NG,
行け!稲中卓球部,1期放送済,"25,000,000",,講談社,NG,
トリコ,1期放送済,"25,000,000",,集英社,NG,
新世紀エヴァンゲリオン,1期放送済,"25,000,000",,角川書店,NG,
GANTZ,2期放送済,"24,000,000",,集英社,NG,
テラフォーマーズ,2期放送済,"22,000,000",,集英社,NG,
金色のガッシュ!! ,1期放送済,"22,000,000",,小学館,NG,
炎炎ノ消防隊,3期決定(放送日未定),"20,000,000",,講談社,NG,
カードキャプターさくら,3期放送済,"19,000,000",,講談社,NG,条件厳しい
チェンソーマン,1期放送中,"16,000,000",,集英社,NG,
Dr.STONE,3期決定(2023年),"14,000,000",,集英社,NG,
オーバーロード：前編,4期放送済,"14,000,000",186,エンターブレイン,NG,
オーバーロード：後編,4期放送済,"14,000,000",257,エンターブレイン,NG,
Re:ゼロから始める異世界生活,2期放送済,"13,000,000",7,メディアファクトリー,NG,
盾の勇者の成り上がり,3期決定(放送日未定),"11,000,000",32,メディアファクトリー,NG,
この素晴らしい世界に祝福を！,3期決定(2023年放送日未定),"10,000,000",,角川書店,NG,
ようこそ実力至上主義の教室へ,3期決定(2023年放送日未定),"9,000,000",,MF文庫J,NG,
なんて素敵にジャパネスク,未定,"8,000,000",,角川文庫,NG,
シャングリラ・フロンティア〜クソゲーハンター、神ゲーに挑まんとす〜,1期決定（2023年）,8000000,20,富士見ファンタジア文庫,NG,
陰の実力者になりたくて！,1期放送中,"5,000,000",12,集英社,NG,
アカメが斬る!,,"4,100,000",,スクウェア・エニックス,NG,
鬼滅の刃,3期放送済,"2,800,000",,集英社,NG,
文豪ストレイドッグス,4期決定(2023年1月),"10,000,000",,角川書店,NG,NextNinjaよりアプリゲームがリリース予定
ゴルゴ13,1期放送済,"300,000,000",,リイド社,,
ドラゴンボール,3期放送済,"260,000,000",,集英社,,
美味しんぼ,1期放送済,"135,000,000",,小学館,,
鉄腕アトム,1期放送済,"100,000,000",,講談社,,
タッチ,1期放送済,"100,000,000",,小学館,,
金田一少年の事件簿,1期放送済,"100,000,000",,講談社,,
サザエさん,6477話,"86,000,000",,朝日新聞出版,,
三国志,1期放送済,"80,000,000",,潮出版社,,
花より男子,1期放送済,"61,000,000",,集英社,,
H2,1期放送済,"55,000,000",,小学館,,
メジャーMAJOR,6期放送済,"55,000,000",,小学館,,
COBRA コブラ,1期放送済,"50,000,000",,集英社,,
ガラスの仮面,1期放送済,"50,000,000",,白泉社,,
CITY HUNTER シティーハンター,3期放送済,"50,000,000",,集英社,,
頭文字D イニシャルD,7期決定（2023年）,"50,000,000",,講談社,,
NANAナナ,1期放送済,"50,000,000",,集英社,,
デビルマン,1期放送済,"50,000,000",,講談社,,
ドカベン,1期放送済,"48,000,000",,秋田書店,,
クローズ,1期放送済,"46,000,000",,秋田書店,,
ブラック・ジャック,1期放送済,"45,640,000",,秋田書店,,
静かなるドン,1期放送済,"45,000,000",,実業之日本社,,
DEAR BOYS ACT4 ,1期放送済,"45,000,000",,講談社,,
課長島耕作,未定,"44,000,000",,講談社,,
BE-BOP-HIGHSCHOOL,1期放送済,"40,100,000",,講談社,,
遊☆戯☆王,7期放送中,"40,000,000",,集英社,,
今日から俺は!!,1期放送済,"40,000,000",,小学館,,
シュート!,2期放送済,"40,000,000",,講談社,,
王家の紋章,未定,"40,000,000",,秋田書店,,
ダイヤのA ,3期放送済,"40,000,000",,講談社,,
のだめカンタービレ,3期放送済,"38,700,000",,講談社,,
シャーマンキング,1期放送済,"38,000,000",,講談社,,
釣りキチ三平,1期放送済,"38,000,000",,講談社,,
クッキングパパ,1期放送済,"36,000,000",,講談社,,
イタズラなKiss,1期放送済,"35,000,000",,集英社,,
WORST,未定,"35,000,000",,秋田書店,,
3×3EYES,未定,"33,000,000",,講談社,,
君に届け,2期放送済,"33,000,000",,集英社,,
ちびまる子ちゃん,2期放送済,"32,500,000",,集英社,,
黒子のバスケ,3期放送済,"31,000,000",,集英社,,
DEATHNOTE,1期放送済,"30,000,000",,集英社,,
YAWARA!,1期放送済,"30,000,000",,小学館,,
じゃりン子チエ,2期放送済,"30,000,000",,双葉社,,
カメレオン,1期放送済,"30,000,000",,講談社,,
サラリーマン金太郎,1期放送済,"30,000,000",,集英社,,
家庭教師ヒットマンREBORN!,1期放送済,"30,000,000",,集英社,,
BASTARD!!,1期放送中,"30,000,000",,集英社,,
うしおととら,2期放送済,"30,000,000",,小学館,,
フルーツバスケット,3期放送済,"30,000,000",,白泉社,,
黒執事,3期放送済,"30,000,000",,スクウェア・エニックス,,
ソードアート・オンライン,3期放送済,"30,000,000",,アスキー・メディアワークス,,
疾風伝説 特攻の拓,未定,"29,000,000",,講談社,,
ときめきトゥナイト,1期放送済,"28,000,000",,集英社,,
